id,user_id,date,flight_number,from,to,departure_time,arrival_time,duration,airline,aircraft,registration,seat_number,seat_type,flight_class,flight_reason,note
6cc3f548-bf69-44a3-9ebd-9b89363f09c8,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2015-01-23,NH1763,3aaef833-cd7a-4b43-9bfb-ab8e4b9f362f,08dc815f-85c4-40c8-9ffa-7526e51684ea,09:50:00,10:50:00,01:00:00,c4a41ded-ac97-4362-8b51-c939a04a070f,ef344faf-d74e-40fd-8a5b-56256b9c8834,JA304K,19D,Aisle,Economy,Business,Okinawa FAM trip
dac8b2e1-9f1c-42b0-a5bd-ab9a09065adb,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2015-01-24,NH1776,08dc815f-85c4-40c8-9ffa-7526e51684ea,3aaef833-cd7a-4b43-9bfb-ab8e4b9f362f,16:30:00,17:25:00,00:55:00,c4a41ded-ac97-4362-8b51-c939a04a070f,ef344faf-d74e-40fd-8a5b-56256b9c8834,JA357K,17C,Aisle,Economy,Business,Okinawa FAM trip
c60be18a-b563-4bab-9db8-4508cfa8efa1,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2015-01-27,NH476,3aaef833-cd7a-4b43-9bfb-ab8e4b9f362f,1f0b9d71-94f9-4760-b72c-d37deb39d4a2,19:30:00,21:40:00,02:10:00,c4a41ded-ac97-4362-8b51-c939a04a070f,ca26c723-ce2e-4142-a0f2-9b5188799162,JA751A,15D,Aisle,Economy,Business,Okinawa FAM trip
5a41c2c0-50e1-4518-b748-cb91a5c5f8e7,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2015-01-28,NH203,1f0b9d71-94f9-4760-b72c-d37deb39d4a2,3f6bd7e4-930f-443f-8849-6a783cf1aede,03:40:00,07:40:00,12:00:00,c4a41ded-ac97-4362-8b51-c939a04a070f,6daa8f11-b29e-468c-b980-f0332582ee6a,JA820A,27H,Aisle,Economy,Business,Okinawa FAM trip
7ab924a8-a8fc-47ce-98b2-e204f2cd5095,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2015-01-28,LH1338,3f6bd7e4-930f-443f-8849-6a783cf1aede,ae576c29-3f92-464d-a24e-8be699b4a1d9,12:15:00,13:50:00,01:35:00,674729d7-0e8f-45dd-bef1-5d25f8e867d8,cbb306bf-35ca-4dba-ab30-be29d4fd671b,D-AISG,21D,Aisle,Economy,Business,Okinawa FAM trip
18dbe11f-cde2-4fdc-8cd4-d7f94e4ed490,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2015-04-30,SK780,ae576c29-3f92-464d-a24e-8be699b4a1d9,d549830a-90a9-42c9-91aa-8cfd43faddab,12:30:00,14:20:00,01:50:00,e157e076-28f8-4d8f-ae5e-f29d6604dd37,cbb306bf-35ca-4dba-ab30-be29d4fd671b,oy-kay,16c,Aisle,Economy,Leisure,
d03c0940-a463-4076-a23c-0d59d6cb5d67,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2015-05-04,SK779,d549830a-90a9-42c9-91aa-8cfd43faddab,ae576c29-3f92-464d-a24e-8be699b4a1d9,20:05:00,21:50:00,01:45:00,e157e076-28f8-4d8f-ae5e-f29d6604dd37,e8e34761-1a1f-4767-8d18-b2530f4e74c8,oy-kfm,9c,Aisle,Economy,Leisure,
ea610ccb-956b-47af-b5c0-e865a6a6644a,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2015-10-22,TK1034,ae576c29-3f92-464d-a24e-8be699b4a1d9,58068f24-2708-4cef-9166-d794e5d9de49,13:50:00,16:55:00,02:05:00,0f074206-403e-4e4a-96d4-272d03666848,c0c623c4-f23d-4969-b4db-5f5641bb0676,TC-JGD,1A,Window,Business,Leisure,Upgrade
a7a6d499-684e-40de-abda-bc9e5e7a2084,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2015-10-22,TK0088,58068f24-2708-4cef-9166-d794e5d9de49,ee39fa6b-89f9-4a84-82b6-1aeefe74b053,18:20:00,10:25:00,10:05:00,0f074206-403e-4e4a-96d4-272d03666848,b49b36f6-387a-46bf-a374-60b5ba0226f9,TC-JOJ,07J,Aisle,Economy,Leisure,
5d1611e3-56ba-4bb4-a7d4-cebce411f231,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2015-10-30,TK0091,ee39fa6b-89f9-4a84-82b6-1aeefe74b053,58068f24-2708-4cef-9166-d794e5d9de49,00:20:00,06:00:00,12:40:00,0f074206-403e-4e4a-96d4-272d03666848,4af7ed2e-f686-41ec-b0b6-ca7a14a465a8,TC-JJH,27G,Aisle,Economy,Leisure,
